Scan Name,Updated,Type,Module,Source,F/P,Data
FootPrint _h4cker.org,2025-09-20 20:05:14,TARGET_WEB_CONTENT,sfp_spider,wordlists.h4cker.org,0,"





<!DOCTYPE html>
<html
  lang=""en""
  
  data-color-mode=""auto"" data-light-theme=""light"" data-dark-theme=""dark""
  data-a11y-animated-images=""system"" data-a11y-link-underlines=""true""
  
  >




  <head>
    <meta charset=""utf-8"">
  <link rel=""dns-prefetch"" href=""https://github.githubassets.com"">
  <link rel=""dns-prefetch"" href=""https://avatars.githubusercontent.com"">
  <link rel=""dns-prefetch"" href=""https://github-cloud.s3.amazonaws.com"">
  <link rel=""dns-prefetch"" href=""https://user-images.githubusercontent.com/"">
  <link rel=""preconnect"" href=""https://github.githubassets.com"" crossorigin>
  <link rel=""preconnect"" href=""https://avatars.githubusercontent.com"">

  


  <link crossorigin=""anonymous"" media=""all"" rel=""stylesheet"" href=""https://github.githubassets.com/assets/light-6448649c7147.css"" /><link crossorigin=""anonymous"" media=""all"" rel=""stylesheet"" href=""https://github.githubassets.com/assets/light_high_contrast-42fc7e3b06b7.css"" /><link crossorigin=""anonymous"" media=""all"" rel=""stylesheet"" href=""https"
FootPrint _h4cker.org,2025-09-20 19:54:11,PGP_KEY,sfp_keybase,santosomar,0,"

mQGiBEbGEpkRBACf/O1eL8g2TPrpwtCGTyxXhlVtPsNpYCpJ69ePLiYRIsEqBphS
cXa0axmkInxGWwMXo/cjyNrk3pKuE1vO+OZKY7i+6JqLKby9NM9PHwSm1aAFyOyg
1jPVtiodGrEDGGc6wnpA3qtV9Vg1Ycf+MAUl17q8faeg7mik194m8dbQPwCgx/Gd
U1L1odYeMpindGHgVsYHbokD/3LiW6CCv8JR4K1x6BZCE1jABmPMBhjdx1R1y5d7
WZJvX9ZV8ElB/3u837UD3PrLsq+kYgR+YJ4i9f28tcfjyFxfg7UBEKyPVJocaKEm
MZpsUwQpEoUXvMaaLSo33BdsEnyE4oCIGFvqpH4+J2p2oT16Of8f1z2xXtBaGW/l
O7FnBACdRrEx5Gs7GvVC52mIVGWGSJb/sWud+47szOB8/ElVZV5/VxmVrOqiaCol
onovj3MYY6ec3xo69NoAf+rzBkG8XfdmfphBUqb1CpIptQQJ0LOoy2pciBXwL2qF
rXMmqJG2iwO0/vNDFt5X5z5rlAVd/HzRXDMs2DblVZkBs3ONQLQaT21hciBTYW50
b3MgPG9zQGNpc2NvLmNvbT6IYgQTEQIAIgUCS6JJVAIbIwYLCQgHAwIGFQgCCQoL
BBYCAwECHgECF4AACgkQjhmp0TryftylYwCeK9BmUpwk9BAu49CpP8GlaR9QqEQA
oIa8LQxu79Z+3xoURFKQEzky6fQiiQIcBBABAgAGBQJMyKJ6AAoJEJ7UZMNoc/cb
vzMP/jPPd+a0z4ZlGSeXY07CPcPvuvL1YxZHpDrXgBwu+6kvwSDsp92mFcfkryNF
2VtPxK/IPRo7GJMrwMWM5uHjZNx3202ru4hS3E3GmFrpsTVLcseNPKvyo+tQlEmU
iZbCGILc2wH/QaZVfCJQkG++8Z0K9/bguANHwP5iF41bnLHXvtxh8r0UQyTVhpVf
QAQ9gmx/yG7KKR3raSnCJgEQOM+hrvPmtjQbCgdcC9+0Erp"
FootPrint _h4cker.org,2025-09-20 20:58:59,TARGET_WEB_CONTENT,sfp_spider,https://site.h4cker.org/about/,0,"
<!doctype html>
<html lang=""en"" class=""no-js"">
  <head>
    
      <meta charset=""utf-8"">
      <meta name=""viewport"" content=""width=device-width,initial-scale=1"">
      
      
      
        <link rel=""canonical"" href=""https://site.h4cker.org/about/"">
      
      
        <link rel=""prev"" href=""../1/"">
      
      
      
      <link rel=""icon"" href=""../assets/images/favicon.png"">
      <meta name=""generator"" content=""mkdocs-1.6.1, mkdocs-material-9.5.48"">
    
    
      
        <title>About Omar - Cybersecurity and AI Resources by Omar Santos</title>
      
    
    
      <link rel=""stylesheet"" href=""../assets/stylesheets/main.6f8fc17f.min.css"">
      
        
        <link rel=""stylesheet"" href=""../assets/stylesheets/palette.06af60db.min.css"">
      
      


    
    
      
    
    
      
        
        
        <link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin>
        <link rel=""stylesheet"" href=""https://fonts.googleapis.com/css?family=Roboto:300,300i,400,400i,700,700i%7CR"
FootPrint _h4cker.org,2025-09-20 20:59:06,TARGET_WEB_CONTENT,sfp_spider,https://site.h4cker.org/about/./,0,"
<!doctype html>
<html lang=""en"" class=""no-js"">
  <head>
    
      <meta charset=""utf-8"">
      <meta name=""viewport"" content=""width=device-width,initial-scale=1"">
      
      
      
        <link rel=""canonical"" href=""https://site.h4cker.org/about/"">
      
      
        <link rel=""prev"" href=""../1/"">
      
      
      
      <link rel=""icon"" href=""../assets/images/favicon.png"">
      <meta name=""generator"" content=""mkdocs-1.6.1, mkdocs-material-9.5.48"">
    
    
      
        <title>About Omar - Cybersecurity and AI Resources by Omar Santos</title>
      
    
    
      <link rel=""stylesheet"" href=""../assets/stylesheets/main.6f8fc17f.min.css"">
      
        
        <link rel=""stylesheet"" href=""../assets/stylesheets/palette.06af60db.min.css"">
      
      


    
    
      
    
    
      
        
        
        <link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin>
        <link rel=""stylesheet"" href=""https://fonts.googleapis.com/css?family=Roboto:300,300i,400,400i,700,700i%7CR"
FootPrint _h4cker.org,2025-09-20 20:49:27,TARGET_WEB_CONTENT,sfp_spider,site.h4cker.org,0,"
<!doctype html>
<html lang=""en"" class=""no-js"">
  <head>
    
      <meta charset=""utf-8"">
      <meta name=""viewport"" content=""width=device-width,initial-scale=1"">
      
        <meta name=""description"" content=""This website includes numerous resources related to ethical hacking, bug bounties, digital forensics and incident response (DFIR), artificial intelligence security, vulnerability research, exploit development, reverse engineering, and more."">
      
      
      
        <link rel=""canonical"" href=""https://site.h4cker.org/"">
      
      
      
        <link rel=""next"" href=""1/"">
      
      
      <link rel=""icon"" href=""assets/images/favicon.png"">
      <meta name=""generator"" content=""mkdocs-1.6.1, mkdocs-material-9.5.48"">
    
    
      
        <title>Home - Cybersecurity and AI Resources by Omar Santos</title>
      
    
    
      <link rel=""stylesheet"" href=""assets/stylesheets/main.6f8fc17f.min.css"">
      
        
        <link rel=""stylesheet"" href=""assets/stylesheets/palette.06af60db.m"
FootPrint _h4cker.org,2025-09-20 21:04:37,TARGET_WEB_CONTENT,sfp_spider,https://websploit.h4cker.org,0,"
<!doctype html>
<html lang=""en"" class=""no-js"">
  <head>
    
      <meta charset=""utf-8"">
      <meta name=""viewport"" content=""width=device-width,initial-scale=1"">
      
        <meta name=""description"" content=""WebSploit Labs is a learning environment created by [Omar Santos](https://www.linkedin.com/in/santosomar/) for different Cybersecurity Ethical Hacking, Bug Hunting, Incident Response, Digital Forensics, and Threat Hunting training sessions. WebSploit Labs includes several intentionally vulnerable applications running in Docker containers on top of Kali Linux or Parrot Security OS, several additional tools, and over 9,000 cybersecurity resources WebSploit Labs has been used by many colleges and universities in different countries. It comes with over 500 distinct exercises!"">
      
      
      
        <link rel=""canonical"" href=""https://websploit.org/"">
      
      
      
        <link rel=""next"" href=""hacker-training/"">
      
      
      <link rel=""icon"" href=""assets/images/favicon.png"">
     "
FootPrint _h4cker.org,2025-09-20 20:42:41,TARGET_WEB_CONTENT,sfp_spider,websploit.h4cker.org,0,"
<!doctype html>
<html lang=""en"" class=""no-js"">
  <head>
    
      <meta charset=""utf-8"">
      <meta name=""viewport"" content=""width=device-width,initial-scale=1"">
      
        <meta name=""description"" content=""WebSploit Labs is a learning environment created by [Omar Santos](https://www.linkedin.com/in/santosomar/) for different Cybersecurity Ethical Hacking, Bug Hunting, Incident Response, Digital Forensics, and Threat Hunting training sessions. WebSploit Labs includes several intentionally vulnerable applications running in Docker containers on top of Kali Linux or Parrot Security OS, several additional tools, and over 9,000 cybersecurity resources WebSploit Labs has been used by many colleges and universities in different countries. It comes with over 500 distinct exercises!"">
      
      
      
        <link rel=""canonical"" href=""https://websploit.org/"">
      
      
      
        <link rel=""next"" href=""hacker-training/"">
      
      
      <link rel=""icon"" href=""assets/images/favicon.png"">
     "
FootPrint _h4cker.org,2025-09-20 20:36:57,TARGET_WEB_CONTENT,sfp_spider,https://lab.h4cker.org/assets/dropdown/js/navbar-dropdown.js,0,"    jQuery(function($){

    var DATA_KEY = 'bs.navbar-dropdown';
    var EVENT_KEY = '.' + DATA_KEY;
    var DATA_API_KEY = '.data-api';
    
    var Event = {
        COLLAPSE: 'collapse' + EVENT_KEY,
        CLICK_DATA_API: 'click' + EVENT_KEY + DATA_API_KEY,
        SCROLL_DATA_API: 'scroll' + EVENT_KEY + DATA_API_KEY,
        RESIZE_DATA_API: 'resize' + EVENT_KEY + DATA_API_KEY,
        COLLAPSE_SHOW: 'show.bs.collapse',
        COLLAPSE_HIDE: 'hide.bs.collapse',
        DROPDOWN_COLLAPSE: 'collapse.bs.nav-dropdown'
    };

    var ClassName = {
        IN: 'in',
        OPENED: 'opened',
        BG_COLOR: 'bg-color',
        DROPDOWN_OPEN: 'navbar-dropdown-open',
        SHORT: 'navbar-short'
    };

    var Selector = {
        BODY: 'body',
        BASE: '.navbar-dropdown',
        TOGGLER: '.navbar-toggler[aria-expanded=""true""]',
        TRANSPARENT: '.transparent',
        FIXED_TOP: '.navbar-fixed-top'
    };

    function _dataApiHandler(event) {

        if (event.type === 'resize') {

          "
FootPrint _h4cker.org,2025-09-20 21:04:51,TARGET_WEB_CONTENT,sfp_spider,https://bootcamp.h4cker.org/assets/dropdown/js/navbar-dropdown.js,0,"    jQuery(function($){

    var DATA_KEY = 'bs.navbar-dropdown';
    var EVENT_KEY = '.' + DATA_KEY;
    var DATA_API_KEY = '.data-api';
    
    var Event = {
        COLLAPSE: 'collapse' + EVENT_KEY,
        CLICK_DATA_API: 'click' + EVENT_KEY + DATA_API_KEY,
        SCROLL_DATA_API: 'scroll' + EVENT_KEY + DATA_API_KEY,
        RESIZE_DATA_API: 'resize' + EVENT_KEY + DATA_API_KEY,
        COLLAPSE_SHOW: 'show.bs.collapse',
        COLLAPSE_HIDE: 'hide.bs.collapse',
        DROPDOWN_COLLAPSE: 'collapse.bs.nav-dropdown'
    };

    var ClassName = {
        IN: 'in',
        OPENED: 'opened',
        BG_COLOR: 'bg-color',
        DROPDOWN_OPEN: 'navbar-dropdown-open',
        SHORT: 'navbar-short'
    };

    var Selector = {
        BODY: 'body',
        BASE: '.navbar-dropdown',
        TOGGLER: '.navbar-toggler[aria-expanded=""true""]',
        TRANSPARENT: '.transparent',
        FIXED_TOP: '.navbar-fixed-top'
    };

    function _dataApiHandler(event) {

        if (event.type === 'resize') {

          "
FootPrint _h4cker.org,2025-09-20 21:08:24,TARGET_WEB_CONTENT,sfp_spider,http://mail.h4cker.org/assets/tether/tether.min.js,0,"!function(t,e){""function""==typeof define&&define.amd?define(e):""object""==typeof exports?module.exports=e(require,exports,module):t.Tether=e()}(this,function(t,e,o){""use strict"";function i(t,e){if(!(t instanceof e))throw new TypeError(""Cannot call a class as a function"")}function n(t){var e=getComputedStyle(t),o=e.position;if(""fixed""===o)return t;for(var i=t;i=i.parentNode;){var n=void 0;try{n=getComputedStyle(i)}catch(r){}if(""undefined""==typeof n||null===n)return i;var s=n,a=s.overflow,f=s.overflowX,h=s.overflowY;if(/(auto|scroll)/.test(a+h+f)&&(""absolute""!==o||[""relative"",""absolute"",""fixed""].indexOf(n.position)>=0))return i}return document.body}function r(t){var e=void 0;t===document?(e=document,t=document.documentElement):e=t.ownerDocument;var o=e.documentElement,i={},n=t.getBoundingClientRect();for(var r in n)i[r]=n[r];var s=x(e);return i.top-=s.top,i.left-=s.left,""undefined""==typeof i.width&&(i.width=document.body.scrollWidth-i.left-i.right),""undefined""==typeof i.height&&(i.height=document.body.scrollHeig"
